Split	Serial	German Text	English Text	German Gloss	English Gloss	German Gloss Token	English Gloss Token	Class
train	5	im emsland heute nacht nur neun am oberrhein bis siebzehn grad				NACHT	NIGHT	0
train	5	im emsland heute nacht nur neun am oberrhein bis siebzehn grad				SECHS	SIX	0
train	5	im emsland heute nacht nur neun am oberrhein bis siebzehn grad				FLUSS	FLOW	0
train	5	im emsland heute nacht nur neun am oberrhein bis siebzehn grad				SIEBZEHN	SEVENTEEN	0
train	5	im emsland heute nacht nur neun am oberrhein bis siebzehn grad				GRAD	CITY	0
train	8	sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten	otherwise changeable with showers and thunderstorms that accompany us on the weekend	REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE	REGION CHANGING RAIN THORMALS EVEN WEEKEND	REGION	REGION	0
train	8	sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten				WECHSELHAFT	CHANGING	0
train	8	sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten				REGEN	RAIN	0
train	8	sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten				GEWITTER	THUNDERSTORM	0
train	8	sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten				AUCH	EVEN	0
train	8	sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten				WOCHENENDE	WEEKEND	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter	during the day a mixture of sun clouds and fog in the east and south-east as well as a few showers at the north sea towards evening the clouds become thicker in the north-west	TAG MISCHUNG SONNE WOLKE KOENNEN NEBEL SUEDOST SUED NORD HABEN SCHAUER KOENNEN ABEND DANN NORDWEST BISSCHEN WOLKE KOMMEN	DAY MIXTURE SUN CLOUDS MIST SOUTH EAST SOUTH NORTH HAVE SHOWERS IN THE EVENING NORTH WEST BIT CLOUDS COME	TAG	TAG	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				MISCHUNG	MIXTURE	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				SONNE	SUN	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				WOLKE	CLOUD	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				KOENNEN	CAN	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				NEBEL	FOG	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				SUEDOST	SUEDOST	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				SUED	SUED	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				NORD	NORTH	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				HABEN	TO HAVE	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				SCHAUER	SHOWER	1
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				KOENNEN	CAN	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				ABEND	EVENING	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				DANN	THEN	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				NORDWEST	NORTHWEST	0
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				BISSCHEN	LITTLE	1
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				WOLKE	CLOUD	3
train	13	am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter				KOMMEN	COME	0
train	16	am tag drei grad im berchtesgadener land und elf grad am niederrhein	on the day three degrees in the berchtesgadener land and eleven degrees on the lower rhine	DREI REGION DREI ELF REGION	THREE REGION THREE ELF REGION	DREI	THREE	0
train	16	am tag drei grad im berchtesgadener land und elf grad am niederrhein				REGION	REGION	0
train	16	am tag drei grad im berchtesgadener land und elf grad am niederrhein				DREI	THREE	0
train	16	am tag drei grad im berchtesgadener land und elf grad am niederrhein				ELF	ELF	0
train	16	am tag drei grad im berchtesgadener land und elf grad am niederrhein				REGION	REGION	0
train	17	richtung südosten wolken nebel teilweise auch sonne	direction southeast clouds fog partly also sun	REGION WOLKE NEBEL UND SONNE	REGION CLOUD FOG AND SUN	REGION	REGION	0
train	17	richtung südosten wolken nebel teilweise auch sonne				WOLKE	CLOUD	0
train	17	richtung südosten wolken nebel teilweise auch sonne				NEBEL	FOG	1
train	17	richtung südosten wolken nebel teilweise auch sonne				UND	AND	0
train	17	richtung südosten wolken nebel teilweise auch sonne				SONNE	SUN	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts	tonight it is widespread and clear only a few thin veils are moving over the north and the center eastwards	HEUTE NACHT REGION KLAR DEUTSCHLAND IX KOENNEN SEHEN NUR KOMMEN NORD REGION	TODAY REGION CLEAR GERMANY IX CAN SEE ONLY COMING NORTH REGION	HEUTE	TODAY	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				NACHT	NIGHT	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				REGION	REGION	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				KLAR	CLEAR	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				DEUTSCHLAND	GERMANY	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				IX	IX	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				KOENNEN	CAN	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				SEHEN	SEE	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				NUR	ONLY	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				KOMMEN	COME	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				NORD	NORTH	0
train	20	heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts				REGION	REGION	0
train	22	der wind weht meist schwach mitunter auch mal mäßig	the wind is usually weak and sometimes moderate	WIND SCHWACH MAESSIG WEHEN	WIND WEIGHT LIGHTWEIGHT	WIND	WIND	1
train	22	der wind weht meist schwach mitunter auch mal mäßig				SCHWACH	WEAK	1
train	22	der wind weht meist schwach mitunter auch mal mäßig				MAESSIG	MAESSIG	0
train	22	der wind weht meist schwach mitunter auch mal mäßig				WEHEN	Woe	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein	on the day fifteen degrees on rügen and twenty-five degrees on the upper rhine	TAG FUENFZEHN GRAD RUEGEN REGION FUENF ZWANZIG FLUSS	DAY Fifteen DEGREES RUEGEN REGION FIVE TWENTY RIVER	TAG	TAG	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein				FUENFZEHN	FIFTEEN	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein				GRAD	CITY	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein				RUEGEN	RUEGEN	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein				REGION	REGION	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein				FUENF	FIVE	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein				ZWANZIG	TWENTY	0
train	24	am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein				FLUSS	FLOW	0
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne	sunny weather on saturday also on sunday in large parts of germany a lot of sunshine	WEITER SONNE SAMSTAG UND SONNTAG REGION VIEL SONNE	FURTHER SUN SATURDAY AND SUNDAY REGION LOTS OF SUN	WEITER	FURTHER	0
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne				SONNE	SUN	0
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne				SAMSTAG	SATURDAY	0
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne				UND	AND	0
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne				SONNTAG	SUNDAY	0
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne				REGION	REGION	0
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne				VIEL	MUCH	3
train	25	sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne				SONNE	SUN	3
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden	even on monday, the sun usually shines. In the far west, you can expect a few showers	MONTAG AUCH MEISTENS SONNE SUEDWEST WEST KOENNEN REGEN	MONDAY ALSO MOST SUN SOUTHWEST WEST CAN BE RAIN	MONTAG	MONDAY	0
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden				AUCH	EVEN	0
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden				MEISTENS	USUALLY	0
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden				SONNE	SUN	0
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden				SUEDWEST	SUEDWEST	0
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden				WEST	WEST	0
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden				KOENNEN	CAN	0
train	27	auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden				REGEN	RAIN	1
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad	tonight especially in the east and south severe frost on the north sea plus one degree	HEUTE NACHT BESONDERS OST SUEDOST HART FROST NORD PLUS EINS	TODAY PARTICULARLY EAST SOUTH EAST HART FROST NORTH PLUS ONE	HEUTE	TODAY	0
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				NACHT	NIGHT	0
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				BESONDERS	PARTICULARLY	0
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				OST	OST	0
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				SUEDOST	SUEDOST	0
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				HART	HEART	3
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				FROST	FROST	3
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				NORD	NORTH	0
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				PLUS	MORE	0
train	32	heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad				EINS	LIKE	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen	the stormy weather will be over tomorrow and then on the weekend spring can slowly bring such a delicate green to these brown-gray landscapes	WETTER WIND MORGEN VERSCHWINDEN DANN IN-KOMMEND WOCHENENDE LANGSAM KOMMEN FRUEHLING BODEN BLUETE VORHER WOLKE BRAUN	WEATHER WIND TOMORROW DISAPPEAR THEN IN-COMING WEEKEND SLOWLY COME SPRING GROUND BLUET BEFORE CLOUD BROWN	WETTER	WEATHER	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				WIND	WIND	3
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				MORGEN	MORNING	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				VERSCHWINDEN	DISAPPEAR	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				DANN	THEN	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				IN-KOMMEND	IN-COMING	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				WOCHENENDE	WEEKEND	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				LANGSAM	SLOW	1
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				KOMMEN	COME	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				FRUEHLING	FRUEHLING	1
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				BODEN	FLOOR	1
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				BLUETE	BLOSSOM	1
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				VORHER	BEFORE	0
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				WOLKE	CLOUD	1
train	38	das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen				BRAUN	BROWN	0
train	43	stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab	there are stormy gusts from the west until the afternoon then the wind subsides	WEHEN BIS NACH MITTAG VERSCHWINDEN	BREEZE DISAPPEAR UNTIL AFTER MIDDAY	WEHEN	Woe	1
train	43	stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab				BIS	UNTIL	0
train	43	stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab				NACH	AFTER	0
train	43	stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab				MITTAG	MIDDAY	0
train	43	stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab				VERSCHWINDEN	DISAPPEAR	0
train	50	hier und da bilden sich einzelne nebelfelder	here and there individual fog fields form	MAL NEBEL	TIMES FOG	MAL	TIMES	0
train	50	hier und da bilden sich einzelne nebelfelder				NEBEL	FOG	0
train	53	sonst scheint verbreitet die sonne	otherwise the sun seems widespread	SONST REGION SONNE	OTHERWISE REGION SUN	SONST	OTHERWISE	0
train	53	sonst scheint verbreitet die sonne				REGION	REGION	0
train	53	sonst scheint verbreitet die sonne				SONNE	SUN	3
train	56	hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter	high air pressure between the azores and the baltic states continues to determine the weather in the north and center of germany	HEUTE KOMMEN NORD MITTE KOMMEN	TODAY COME NORTH COME CENTER	HEUTE	TODAY	0
train	56	hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter				KOMMEN	COME	0
train	56	hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter				NORD	NORTH	0
train	56	hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter				MITTE	NOT	0
train	56	hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter				KOMMEN	COME	0
train	60	in der nordhälfte neben lockeren wolken viel sonne	in the north half there is a lot of sun next to loose clouds	REGION WOLKE VIEL SONNE	REGION, CLOUD LOTS OF SUN	REGION	REGION	0
train	60	in der nordhälfte neben lockeren wolken viel sonne				WOLKE	CLOUD	1
train	60	in der nordhälfte neben lockeren wolken viel sonne				VIEL	MUCH	3
train	60	in der nordhälfte neben lockeren wolken viel sonne				SONNE	SUN	3
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind	tomorrow there will be strong movement in the weather with a deep that will bring us strong snowfalls and stormy winds	MORGEN WETTER WECHSELHAFT WARUM TIEF KOMMEN DESHALB VIEL SCHNEE REGEN STURM	TOMORROW&#39;S CHANGING WEATHER WHY SO LOTS OF SNOW, RAIN, STORMS COME DEEP	MORGEN	MORNING	0
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				WETTER	WEATHER	0
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				WECHSELHAFT	CHANGING	0
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				WARUM	WHY	0
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				TIEF	DEEP	3
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				KOMMEN	COME	0
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				DESHALB	FOR THIS REASON	0
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				VIEL	MUCH	3
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				SCHNEE	SNOW	3
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				REGEN	RAIN	3
train	71	morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind				STURM	STORM	3
train	72	und das wird uns bis donnerstag beschäftigen	and that will keep us busy until Thursday	BIS DONNERSTAG BLEIBEN SO	STAY SO UNTIL THURSDAY	BIS	UNTIL	0
train	72	und das wird uns bis donnerstag beschäftigen				DONNERSTAG	THURSDAY	0
train	72	und das wird uns bis donnerstag beschäftigen				BLEIBEN	STAY	0
train	72	und das wird uns bis donnerstag beschäftigen				SO	SO	0
train	76	nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus	In the afternoon the snowfalls spread further in the direction of the northern low mountain range	NACH MITTAG SCHNEE FLAECHENDECKEND	AFTER LUNCH, SNOW COVERED AREA	NACH	AFTER	0
train	76	nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus				MITTAG	MIDDAY	0
train	76	nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus				SCHNEE	SNOW	0
train	76	nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus				FLAECHENDECKEND	AREA COVERAGE	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten	tonight fifteen degrees on the lower rhine and up to one degree in the east	HEUTE NACHT FUENFZEHN GRAD IX FLUSS EINS GRAD OST	TODAY Fifteen DEGREES IX RIVER ONE DEGREES EAST	HEUTE	TODAY	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				NACHT	NIGHT	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				FUENFZEHN	FIFTEEN	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				GRAD	CITY	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				IX	IX	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				FLUSS	FLOW	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				EINS	LIKE	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				GRAD	CITY	0
train	85	heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten				OST	OST	0
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern	on tuesday sun in the west it is now and then cloudy with a few showers and thunderstorms	DIENSTAG SONNE WEST BISSCHEN WOLKE KOENNEN SCHAUER GEWITTER	TUESDAY SUN WEST BIT CLOUDS CAN BE SHOWERS THORMALS	DIENSTAG	TUESDAY	0
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern				SONNE	SUN	0
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern				WEST	WEST	0
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern				BISSCHEN	LITTLE	1
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern				WOLKE	CLOUD	1
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern				KOENNEN	CAN	0
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern				SCHAUER	SHOWER	1
train	88	am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern				GEWITTER	THUNDERSTORM	1
train	101	in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne	in the northwest half it is mostly overcast tonight otherwise the stars are partly showing	NORDWEST HEUTE NEBEL SONST REGION IX STERN KOENNEN SEHEN	NORTHWEST TODAY FOG OTHERWISE YOU CAN SEE REGION IX STAR	NORDWEST	NORTHWEST	0
train	101	in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne				HEUTE	TODAY	0
train	101	in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne				NEBEL	FOG	3
train	101	in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne				SONST	OTHERWISE	0
train	101	in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne				REGION	REGION	0
train	101	in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne				IX	IX	0
train	101	in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne				STERN	STERN	0
